Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
NXPI,244.81500244140625,62219931648.0,25.186213,9.72,13276000000.0,2797000000.0,1.65,296.08,198.21,1.471,1592533.0,2547642.0,Technology,Semiconductors
XPEV,17.55500030517578,16922757120.0,,-1.21,30676067000.0,-10375775000.0,,18.29,6.551,2.766,4463163.0,10277761.0,Consumer Cyclical,Auto Manufacturers
AUR,7.994999885559082,13914737664.0,,-0.46,0.0,-748000000.0,,10.77,2.1,2.86,7336327.0,14253018.0,Technology,Information Technology Services
MRVL,108.7300033569336,94092713984.0,,-1.7,5507700000.0,-933400000.0,0.22,127.48,53.19,1.395,3361565.0,14774581.0,Technology,Semiconductors
CSX,32.279998779296875,62249394176.0,18.03352,1.79,14657000000.0,3715000000.0,1.6,40.12,31.43,1.224,3029968.0,12695703.0,Industrials,Railroads
INFY,21.28499984741211,88174174208.0,26.943037,0.79,18562000000.0,3167000000.0,2.34,23.63,16.04,0.636,5769260.0,8188415.0,Technology,Information Technology Services
EQT,51.95000076293945,30997735424.0,115.44445,0.45,5069982000.0,1735232000.0,1.16,56.66,30.02,1.089,2382127.0,7715983.0,Energy,Oil & Gas E&P
FOUR,99.30000305175781,8843479040.0,55.166668,1.8,2564800000.0,86200000.0,,127.5,55.87,1.724,1812808.0,1673827.0,Technology,Software - Infrastructure
KRYS,184.99769592285156,5329061888.0,61.87214,2.99,50699000.0,10932000.0,,219.34,107.5,,220059.0,262016.0,Healthcare,Biotechnology
PEN,303.32501220703125,11682835456.0,842.56946,0.36,1194615000.0,14012000.0,,310.0,148.0,0.536,178878.0,421189.0,Healthcare,Medical Devices
RBA,103.31999969482422,19127631872.0,51.402985,2.01,3679600000.0,206500000.0,1.11,106.9,67.15,0.954,325516.0,922208.0,Industrials,Specialty Business Services
VKTX,32.29999923706055,3603840000.0,,-1.01,0.0,-85895000.0,,99.41,28.64,0.893,1996972.0,3810691.0,Healthcare,Biotechnology
SSRM,10.625,2154802944.0,,-1.29,995618000.0,-261277000.0,4.91,10.91,3.91,,1864891.0,2670620.0,Basic Materials,Gold
HCM,15.390000343322754,2630705152.0,,-0.25,837999000.0,100780000.0,,21.92,12.84,0.732,46740.0,75647.0,Healthcare,Drug Manufacturers - Specialty & Generic
STM,27.764999389648438,24860307456.0,16.725904,1.66,17286000000.0,4211000000.0,1.36,49.05,21.36,1.194,9891575.0,6168072.0,Technology,Semiconductors
MCHP,64.13999938964844,34495709184.0,112.52631,0.57,7634400000.0,1906900000.0,2.86,100.57,50.21,1.495,4876134.0,9145374.0,Technology,Semiconductors
ADI,244.2050018310547,121119817728.0,77.77229,3.14,9427157000.0,1635273000.0,1.64,247.1,182.57,1.039,2136981.0,3434400.0,Technology,Semiconductors
CRK,19.459999084472656,5687398400.0,,-0.76,1565109000.0,211894000.0,,22.06,7.74,0.484,845976.0,2331076.0,Energy,Oil & Gas E&P
ENLT,18.06999969482422,2177254144.0,50.194443,0.36,255702000.0,70924000.0,,18.48,14.09,0.759,25746.0,21301.0,Utilities,Utilities - Renewable
NPO,205.13999938964844,4306360320.0,59.63372,3.44,1059300000.0,22200000.0,0.6,214.58,136.68,1.499,30686.0,116225.0,Industrials,Specialty Industrial Machinery
HBM,7.740099906921387,3064057856.0,32.250416,0.24,1690030000.0,66367000.0,0.16,10.49,5.22,1.837,2029671.0,5273788.0,Basic Materials,Copper
CNK,26.709999084472656,3266739712.0,12.96602,2.06,3066700000.0,188200000.0,4.48,36.28,15.75,2.395,2224177.0,2573371.0,Communication Services,Entertainment
WRD,29.259899139404297,8031637504.0,,-1.16,401844000.0,-1949101000.0,,44.0,12.22,,2048634.0,696579.0,Technology,Software - Application
HHH,73.7249984741211,3696387072.0,,-9.26,1024102000.0,-551773000.0,,87.77,56.24404,1.481,309166.0,370803.0,Real Estate,Real Estate - Diversified
OKLO,42.19499969482422,5772107264.0,,-0.12,0.0,-10023891.0,,59.14,5.35,-0.33,8404374.0,17812666.0,Utilities,Utilities - Regulated Electric
AXON,532.0650024414062,40572510208.0,137.84068,3.86,1563391000.0,174227000.0,,715.99,265.32,1.046,1136891.0,848601.0,Industrials,Aerospace & Defense
BRK-B,478.8835144042969,1032793686016.0,9.686155,49.44,439337000000.0,96223000000.0,,491.67,395.66,0.884,851224.0,3943923.0,Financial Services,Insurance - Diversified
UEC,6.054999828338623,2561797888.0,,-0.13,224000.0,-29221000.0,,8.93,4.06,1.881,2304790.0,7300335.0,Energy,Uranium
CLVT,4.940000057220459,3416691712.0,,-0.96,2628800000.0,-911200000.0,,9.07,4.22,,4368232.0,5127359.0,Technology,Information Technology Services
AGNC,10.489999771118164,9413726208.0,11.27957,0.93,251000000.0,155000000.0,13.75,10.85,8.92,1.47,4552483.0,17940320.0,Real Estate,REIT - Mortgage
MU,103.36499786376953,115166175232.0,29.617477,3.49,25111000000.0,778000000.0,0.44,157.54,83.54,1.18,5728410.0,24145049.0,Technology,Semiconductors
VZ,42.25,177859821568.0,10.205315,4.14,134788000000.0,17506000000.0,6.45,45.36,37.59,0.442,5632295.0,20499891.0,Communication Services,Telecom Services
